T4 - 9Sep_Map_MIDDAY,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column16,Column17,Column18,Column19,Column21,Column24,Column25
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI
14,29,31.2031,41.24419785,-7.114587307,-81.69,-571.03,-82.06,-570.13,154.3,37.47,34.2,1002.4,17.6,248,0.68,0.01
14,29,31.5,41.24419785,-7.114589214,-81.87,-571.05,-82.3,-570.04,154.3,37.47,34.2,1002.4,17.6,247,0.68,0.01
14,29,31.7969,41.24419785,-7.114590645,-82,-571.06,-82.37,-570.1,154.3,37.47,34.2,1002.4,17.6,249,0.68,0.01
14,29,32,41.24419785,-7.114591599,-82.06,-571.07,-82.48,-570.18,154.2,37.47,34.3,1002.4,17.7,245,0.68,0.01
14,29,32.2969,41.24419785,-7.114593506,-82.25,-571.08,-82.68,-570.18,154.2,37.58,34.3,1002.4,17.7,245,0.68,0.01
14,29,32.6016,41.24419785,-7.11459446,-82.31,-571.09,-82.64,-570.15,154.3,37.58,34.3,1002.4,17.7,251,0.71,0.04
14,29,32.8984,41.24419785,-7.114595413,-82.37,-571.09,-82.78,-570.04,154.2,37.58,34.3,1002.4,17.7,249,0.71,0.04
14,29,33.2031,41.24419785,-7.114598751,-82.68,-571.12,-83.21,-570.17,154.2,37.09,34.3,1002.4,17.7,241,0.71,0.04
14,29,33.5,41.24419785,-7.114599705,-82.74,-571.12,-83.17,-570.13,154.2,37.09,34.3,1002.4,17.7,247,0.61,0.01
14,29,33.7031,41.24419785,-7.114600658,-82.87,-571.13,-83.29,-570.1,154.2,37.09,34.3,1002.4,17.7,248,0.61,0.01
14,29,34,41.24419785,-7.114601612,-82.93,-571.14,-83.27,-570.16,154.2,36.64,34.3,1002.4,17.7,251,0.61,0.01
14,29,34.2969,41.24419785,-7.114603519,-83.05,-571.15,-83.56,-570.2,154.2,36.64,34.3,1002.4,17.7,242,0.61,0.08
14,29,34.5,41.24419785,-7.114604473,-83.18,-571.16,-83.59,-570.06,154.1,36.64,34.3,1002.4,17.7,250,0.61,0.08
14,29,34.7969,41.24419785,-7.114605904,-83.24,-571.16,-83.66,-570.09,154.1,37.56,34.3,1002.4,17.7,249,0.61,0.08
14,29,35.1016,41.24419785,-7.114608765,-83.49,-571.18,-83.84,-570.28,154.1,37.56,34.3,1002.4,17.7,249,0.69,0.04
14,29,35.3984,41.24419022,-7.114609718,-83.55,-571.9,-83.87,-571.07,154.1,37.56,34.3,1002.4,17.7,249,0.69,0.04
14,29,36.1016,41.24419022,-7.11461401,-83.92,-571.93,-84.42,-570.97,154,37.7,34.3,1002.4,17.7,243,0.69,0.04
14,29,36.3984,41.24419022,-7.114615917,-84.04,-571.94,-84.41,-570.94,154,37.7,34.3,1002.4,17.7,250,0.69,0.04
14,29,36.6016,41.24419022,-7.114616871,-84.17,-571.95,-84.6,-571,154,34.74,34.3,1002.4,17.7,246,0.62,0.06
14,29,36.8984,41.24419022,-7.114616871,-84.17,-571.95,-84.5,-570.95,154,34.74,34.3,1002.4,17.7,252,0.62,0.06
14,29,37.6016,41.24419022,-7.114621162,-84.54,-571.98,-84.97,-571.07,154,37.4,34.3,1002.4,17.7,245,0.71,0.03
14,29,37.8984,41.24419022,-7.114622116,-84.6,-571.98,-84.85,-571.06,154,37.4,34.3,1002.4,17.6,255,0.71,0.03
14,29,38.1016,41.24419022,-7.114624023,-84.79,-571.67,-85.04,-571.04,154,37.4,34.3,1002.4,17.6,249,0.71,0.08
14,29,38.7031,41.24419022,-7.114626884,-85.04,-571.69,-85.48,-570.61,153.9,37.05,34.3,1002.4,17.6,248,0.73,-1
14,29,39.1016,41.24419022,-7.114629269,-85.28,-571.71,-85.67,-570.64,153.9,34.63,34.3,1002.4,17.6,250,0.75,0.21
14,29,39.3984,41.24419022,-7.114631176,-85.41,-571.72,-85.86,-570.81,153.9,34.63,34.3,1002.4,17.6,244,0.75,0.21
14,29,39.7031,41.24419022,-7.11463213,-85.47,-571.72,-85.83,-570.8,153.9,34.63,34.3,1002.4,17.6,249,0.75,0.21
14,29,40,41.24418259,-7.114633083,-85.59,-572.63,-85.89,-571.67,153.9,33.9,34.3,1002.4,17.6,253,0.75,0.21
14,29,40.2969,41.24418259,-7.114634991,-85.72,-572.64,-86.1,-571.67,153.9,33.9,34.3,1002.4,17.6,249,0.75,0.21
