T6 - 8Ago_Map_Midday,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column16,Column17,Column18,Column19,Column21,Column24,Column25
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI
12,44,38.7031,41.24419785,-7.114602566,-82.99,-570.95,-83.13,-570.18,154.6,36.13,45,999,17.2,260,0.78,0.31
12,44,39,41.24419785,-7.114604473,-83.18,-570.97,-83.3,-570.18,154.6,36.13,45.1,999,17.2,262,0.78,0.31
12,44,39.3984,41.24419785,-7.114605904,-83.24,-570.97,-83.34,-570.39,154.6,36.17,45.1,999,17.2,261,0.83,0.36
12,44,39.8984,41.24419785,-7.114608765,-83.49,-570.99,0,0,154.6,36.17,45.1,999,17.2,257,0.83,0.36
12,44,40.2031,41.24419785,-7.114609718,-83.55,-571,-83.67,-570.27,154.6,0,45.1,999,17.2,261,0,0
12,44,40.7031,41.24419785,-7.114613056,-83.86,-571.03,-84.06,-570.29,154.5,34.7,45.1,999,17.2,255,0,0
12,44,41,41.24419785,-7.11461401,-83.92,-571.03,-84.12,-570.31,154.5,34.7,45.1,999,17.2,255,0.8,0.24
12,44,41.3984,41.24419022,-7.114615917,-84.04,-572.08,-84.19,-571.35,154.5,35.55,45.1,999,17.2,259,0.8,0.24
12,44,41.7969,41.24419022,-7.114616871,-84.17,-572.09,-84.3,-571.28,154.5,35.55,45.1,999,17.1,261,0.81,0.26
12,44,42.1016,41.24419022,-7.114618778,-84.29,-572.1,-84.52,-571.38,154.5,35.15,45.1,999,17,253,0.81,0.26
12,44,42.5,41.24419022,-7.114621162,-84.54,-572.12,-84.68,-571.41,154.5,35.15,45,999,16.9,259,0.78,0.26
12,44,43,41.24419022,-7.11462307,-84.73,-571.81,-84.92,-570.86,154.5,33.83,45,999,16.9,259,0.78,0.25
12,44,43.3984,41.24419022,-7.114624977,-84.91,-571.82,-85.11,-570.93,154.5,33.83,45.1,999,16.9,258,0.83,0.25
12,44,43.7969,41.24419022,-7.114626884,-85.04,-571.83,-85.17,-571.03,154.5,33.83,45,999,16.9,261,0.83,0.42
12,44,44.2031,41.24419022,-7.114629269,-85.28,-571.85,-85.44,-571.07,154.4,33.7,45.1,999,16.9,259,0.83,0.42
12,44,44.6016,41.24419022,-7.114631176,-85.41,-571.86,-85.59,-571.05,154.4,33.7,45.1,999,17,258,0.83,0.42
12,44,45,41.24419022,-7.114633083,-85.59,-571.88,-85.82,-571,154.4,32.62,45.1,999,17,256,0.83,0.32
12,44,45.3984,41.24418259,-7.114634991,-85.72,-572.78,-85.94,-571.92,154.4,32.62,45,999,17,256,0.75,-1
12,44,45.7031,41.24418259,-7.114636421,-85.84,-572.79,-86.03,-571.86,154.4,35.14,45.1,999,17,259,0.75,-1
12,44,46.1016,41.24418259,-7.114636421,-85.84,-572.79,-86,-571.83,154.4,35.14,45.1,999,17,261,0.78,0.32
12,44,46.3984,41.24418259,-7.114638329,-86.03,-572.81,-86.14,-571.79,154.4,35.14,45,999,17,264,0.78,0.32
12,44,46.7031,41.24418259,-7.11464119,-86.28,-572.83,-86.57,-571.91,154.4,34.89,45.1,999,17,253,0.69,0.26
12,44,47,41.24418259,-7.114643574,-86.4,-572.84,-86.63,-571.93,154.4,34.89,45.1,999,17,256,0.69,0.26
12,44,47.2031,41.24418259,-7.114643574,-86.4,-572.84,-86.59,-571.89,154.4,34.89,45.1,999,17.1,259,0.69,0.26
12,44,47.5,41.24418259,-7.114644527,-86.52,-572.85,-86.69,-571.82,154.4,35.4,45.1,999,17.1,261,0.82,0.31
12,44,47.7969,41.24418259,-7.114647388,-86.77,-572.87,-87.08,-571.88,154.3,35.4,45.1,999,17.1,253,0.82,0.31
12,44,48.1016,41.24418259,-7.114649296,-86.9,-572.88,-87.11,-571.84,154.3,35.4,45.1,999,17.1,259,0.82,0.31
12,44,48.3984,41.24418259,-7.114650249,-87.08,-572.56,-87.34,-571.53,154.3,35.19,45.1,999,17.1,256,0.82,0.31
12,44,48.6016,41.24418259,-7.11465168,-87.14,-572.57,-87.45,-571.58,154.3,35.19,45.1,999,17.1,253,0.82,0.31
12,44,48.8984,41.24418259,-7.11465168,-87.14,-572.57,-87.23,-571.58,154.3,35.19,45.1,999,17.2,265,0.82,0.31
12,44,49.1016,41.24418259,-7.114652634,-87.21,-572.57,-87.39,-571.61,154.3,35.19,45.1,999,17.2,260,0.82,0.25
12,44,49.2969,41.24418259,-7.114655495,-87.45,-572.59,-87.74,-571.65,154.3,35.91,45.1,999,17.2,253,0,0.25
12,44,49.6016,41.24417496,-7.114655495,-87.45,-572.97,-87.69,-571.97,154.2,35.91,45.1,999,17.2,257,0,0.25
12,44,49.7969,41.24417496,-7.114656448,-87.58,-572.98,-87.71,-571.99,154.3,35.91,45.1,999,17.3,263,0,0.25
12,44,50.1016,41.24417496,-7.114658833,-87.76,-573,-87.96,-572.02,154.2,34.73,45.1,999,17.3,259,0.83,0.26
12,44,50.3984,41.24417496,-7.11466074,-87.89,-573.01,-88.15,-572.01,154.2,34.73,45.1,999,17.3,256,0.83,0.26
12,44,50.7031,41.24417496,-7.114661694,-87.95,-573.01,0,0,154.2,34.73,45.1,999,17.3,265,0.83,0.28
12,44,50.8984,41.24417496,-7.114662647,-88.07,-573.02,-88.31,-572.07,154.2,0,45.1,999,17.3,256,0,0
12,44,51.2031,41.24417496,-7.114663601,-88.14,-573.03,-88.33,-572.08,154.2,36.13,45.1,999,17.3,259,0.78,0
12,44,51.5,41.24417496,-7.114664555,-88.2,-573.03,-88.46,-572.1,154.2,36.13,45.1,999,17.3,255,0.78,0
12,44,51.7969,41.24417496,-7.114664555,-88.2,-573.03,-88.36,-572.09,154.2,36.13,45.1,999,17.3,261,0.8,0.25
12,44,52,41.24417496,-7.114664555,-88.2,-573.03,-88.26,-572.07,154.2,36.13,45.1,999,17.3,267,0.8,0.25
12,44,52.2969,41.24417496,-7.114667892,-88.45,-573.05,-88.64,-572.03,154.2,36.13,45.1,999,17.4,260,0.8,0.25
12,44,52.6016,41.24417496,-7.114670753,-88.69,-573.07,-88.89,-572.06,154.1,36.13,45.1,999,17.4,259,0.8,0.25
12,44,53,41.24417496,-7.114674091,-89,-573.1,-89.2,-572.12,154.1,35.89,45.1,999,17.4,259,0.8,0.25
12,44,53.2031,41.24417496,-7.114675045,-89.07,-573.1,-89.23,-572.15,154.1,35.89,45.1,999,17.4,261,0.84,0.4
12,44,53.5,41.24417496,-7.114676952,-89.19,-573.11,-89.3,-572.12,154.1,35.89,45.1,999,17.4,264,0.84,0.4
12,44,53.7969,41.24416351,-7.114677906,-89.32,-574.73,-89.56,-573.71,154.1,35.17,45.1,999,17.4,257,0.84,0.4
12,44,54,41.24416351,-7.114677906,-89.32,-574.73,-89.45,-573.73,154.1,35.17,45.1,999,17.4,263,0.8,0.29
12,44,54.2969,41.24416351,-7.114679813,-89.44,-574.74,-89.53,-573.75,154.1,35.17,45.1,999,17.3,265,0,0.29
12,44,54.5,41.24416351,-7.114680767,-89.56,-574.75,-89.69,-573.73,154.1,34.51,45.1,999,17.3,263,0,0.29
12,44,54.7969,41.24416351,-7.114683151,-89.75,-574.76,-89.91,-573.81,154,34.51,45.1,999,17.3,261,0,0.45
12,44,55,41.24416351,-7.114684105,-89.81,-574.77,-89.97,-573.89,154,34.51,45.1,999,17.3,260,0.85,0.45
12,44,55.2969,41.24416351,-7.114686012,-90,-574.78,-90.14,-573.93,154,34.51,45,999,17.3,261,0.85,0.45
12,44,55.5,41.24416351,-7.114686012,-90,-574.78,-90.1,-573.92,154,35.5,45,999,17.3,264,0.85,0.45
12,44,55.7969,41.24416351,-7.114686966,-90.06,-574.79,-90.1,-573.93,154,35.5,45,999,17.3,268,0.82,0.28
12,44,56,41.24416351,-7.11468792,-90.12,-574.79,-90.23,-573.93,154,35.5,45,999,17.3,263,0.82,0.28
12,44,56.2969,41.24416351,-7.114690304,-90.37,-574.81,-90.49,-573.99,154,35.61,45,999,17.3,262,0.82,0.28
12,44,56.5,41.24416351,-7.114691257,-90.43,-574.82,-90.56,-573.95,153.9,35.61,45,999,17.3,262,0.82,0.28
12,44,56.7969,41.24416351,-7.114693165,-90.56,-574.83,-90.72,-573.95,153.9,35.61,45,999,17.3,260,0.82,0.28
12,44,57,41.24416351,-7.114694118,-90.68,-574.84,-90.8,-573.91,153.9,35.61,45,999,17.3,263,0.82,0.28
12,44,57.2969,41.24416351,-7.114696026,-90.8,-574.85,-90.91,-573.97,153.9,34.78,45.1,999,17.3,263,0.84,0.31
12,44,57.7031,41.24416351,-7.11469841,-91.05,-574.87,-91.18,-573.99,153.9,34.78,45.1,999,17.3,262,0.84,0.31
12,44,58,41.24416351,-7.114699364,-91.11,-574.88,-91.27,-573.94,153.9,34.78,45.1,999,17.3,261,0.84,0.31
12,44,58.2031,41.24416351,-7.114700317,-91.18,-574.88,-91.27,-573.94,153.9,34.85,45,999,17.3,265,0.81,0.29
12,44,58.5,41.24416351,-7.114701271,-91.24,-574.89,-91.36,-573.94,153.9,34.85,45,999,17.3,263,0.81,0.29
12,44,58.7969,41.24416351,-7.114703178,-91.42,-574.9,-91.57,-573.99,153.9,34.85,45,999,17.3,261,0.81,0.29
12,44,59.1016,41.24416351,-7.114705563,-91.67,-574.59,-91.92,-573.73,153.9,35.38,45,999,17.3,254,0.81,-1
12,44,59.3984,41.24416351,-7.114704609,-91.55,-574.91,-91.6,-574.02,153.9,35.38,45.1,999,17.3,267,0.81,-1
12,44,59.7031,41.24415588,-7.114706516,-91.8,-575.5,-91.92,-574.67,153.9,35.9,45,999,17.3,262,0.85,0.34
12,45,0,41.24415588,-7.114708424,-91.92,-575.51,-92.12,-574.73,153.8,35.9,45,999,17.3,256,0.85,0.34
12,45,0.203125,41.24415588,-7.114709377,-91.98,-575.51,-92.1,-574.71,153.8,35.9,45,999,17.3,262,0.85,0.34
12,45,0.5,41.24415588,-7.114711285,-92.17,-575.71,-92.32,-574.83,153.8,35.9,45,999,17.3,261,0.85,0.34
12,45,0.796875,41.24415588,-7.114712715,-92.29,-575.72,-92.43,-574.88,153.8,36.39,45,999,17.3,261,0.85,0.34
12,45,1.10156,41.24415588,-7.114714622,-92.42,-575.73,-92.52,-574.95,153.8,36.39,45,999,17.3,263,0.85,0.34
12,45,1.39844,41.24415588,-7.11471653,-92.54,-575.74,-92.67,-574.88,153.8,36.39,45,999,17.3,262,0.74,0.27
12,45,1.70313,41.24415588,-7.114718437,-92.73,-575.76,-92.9,-574.85,153.8,36.88,45,999,17.3,260,0.74,0.27
12,45,1.89844,41.24415588,-7.114719868,-92.85,-575.77,-92.95,-574.88,153.8,36.88,45,999,17.3,264,0.74,0.27
12,45,2.20313,41.24415588,-7.114720821,-92.91,-575.78,-93.04,-574.98,153.8,36.88,45,999,17.4,261,0.77,0.33
12,45,2.5,41.24415588,-7.114722729,-93.1,-575.79,-93.18,-575.21,153.7,36.29,45,999,17.4,263,0.77,0.33
12,45,2.79688,41.24415588,-7.114724636,-93.22,-575.8,-93.32,-575.2,153.7,36.29,45,999,17.4,261,0.77,0.33
12,45,3.10156,41.24415588,-7.11472559,-93.28,-575.81,-93.37,-575.13,153.7,36.29,45,999,17.4,263,0.8,0.21
12,45,3.5,41.24415588,-7.114726543,-93.41,-575.48,-93.5,-574.77,153.7,36.29,45,999,17.4,263,0.8,0.21
12,45,3.79688,41.24415588,-7.114728928,-93.59,-575.5,-93.71,-574.79,153.7,36.29,45,999,17.5,261,0.82,0.37
12,45,4.20313,41.24415588,-7.114731789,-93.84,-575.52,-94,-574.78,153.7,35.95,45,999,17.6,258,0.82,0.37
12,45,4.60156,41.24415588,-7.114732742,-93.9,-575.52,-94.01,-574.78,153.7,35.95,45,999,17.6,262,0.82,0.37
12,45,5,41.24414825,-7.114735126,-94.09,-576.06,-94.22,-575.29,153.7,35.53,45,999,17.6,261,0.82,0.37
12,45,5.39844,41.24414825,-7.114737034,-94.28,-576.26,-94.39,-575.57,153.6,35.53,45,999,17.5,261,0.83,0.35
12,45,5.79688,41.24414825,-7.114737988,-94.34,-576.27,-94.45,-575.55,153.6,35.53,45,999,17.6,262,0.83,0.35
12,45,6.20313,41.24414825,-7.114740849,-94.59,-576.29,-94.76,-575.5,153.6,35.53,45,999,17.6,258,0.8,0.24
12,45,6.60156,41.24414825,-7.114743233,-94.77,-576.3,-94.93,-575.53,153.6,35.68,45,999,17.6,259,0.8,0.24
12,45,7,41.24414825,-7.11474514,-94.96,-576.32,-95.09,-575.45,153.6,35.68,45,999,17.7,262,0.8,0.28
12,45,7.39844,41.24414825,-7.114748001,-95.21,-576.34,-95.38,-575.51,153.6,35.68,45,999,17.7,259,0.8,0.28
12,45,7.79688,41.24414825,-7.114750385,-95.33,-576.35,-95.52,-575.57,153.5,35.28,45,999,17.8,257,0.76,0.24
12,45,8.20313,41.24414825,-7.114752293,-95.52,-576.37,-95.65,-575.57,153.5,35.28,45,999,17.8,261,0.76,0.24
12,45,8.5,41.24414825,-7.114753246,-95.58,-576.37,-95.72,-575.52,153.5,35.58,45,999,17.8,261,0.76,0.24
12,45,8.89844,41.24414825,-7.114756107,-95.83,-576.39,-96.02,-575.51,153.5,35.58,45,999,17.8,258,0.76,0.24
12,45,9.10156,41.24414063,-7.114756107,-95.83,-577.29,-95.94,-576.4,153.5,35.58,45,999,17.7,263,0.76,0.24
12,45,9.5,41.24414063,-7.114758492,-96.01,-577.3,-96.21,-576.39,153.5,35.59,45,999,17.7,258,0.82,0.32
12,45,9.70313,41.24414063,-7.114759445,-96.14,-577.31,-96.32,-576.4,153.5,35.59,45,999,17.7,259,0.82,0.32
12,45,10,41.24414063,-7.114761353,-96.32,-577,-96.49,-576.08,153.5,35.59,45,999,17.7,260,0.82,0.32
