T3 - 9Sep_MapMor_GT_832,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI,Row,Irrig,Space,Scholand
11,4,12.7031,41.24420547,-7.1145854,-81.56,-569.46,-81.9,-568.54,153.5,25.83,23.2,1005,34.1,250,0.65,0.02,,,,
11,4,13,41.24420547,-7.114587307,-81.69,-569.47,-82.07,-568.67,153.5,25.83,23.2,1005,34.1,245,0.69,0.02,,,,
11,4,13.2031,41.24420547,-7.114588261,-81.81,-569.48,-82.11,-568.67,153.5,25.83,23.1,1005,34.1,250,0.69,0.02,,,,
11,4,13.5,41.24420547,-7.114589214,-81.87,-569.49,-82.22,-568.68,153.5,25.95,23.1,1005,34.1,247,0.72,0.03,,,,
11,4,13.7969,41.24420547,-7.114590645,-82,-569.5,-82.41,-568.56,153.4,25.95,23.2,1005,34.1,247,0.72,0.03,,,,
11,4,14.1016,41.24420547,-7.114592552,-82.18,-569.52,-82.57,-568.66,153.4,25.95,23.2,1005,34.1,246,0.72,0.03,,,,
11,4,14.2969,41.24420547,-7.114593506,-82.24,-569.52,-82.67,-568.66,153.4,25.41,23.2,1005,34,244,0.63,-0.05,,,,
11,4,14.6016,41.24420547,-7.11459446,-82.31,-569.53,-82.58,-568.61,153.4,25.41,23.2,1005,34,254,0.63,-0.05,,,,
11,4,14.8984,41.24420547,-7.114597797,-82.62,-569.74,-83.02,-568.87,153.4,25.41,23.2,1005,34,246,0.63,-0.05,,,,
11,4,15.1016,41.24420547,-7.114598751,-82.68,-569.74,-83.07,-568.91,153.4,25.41,23.2,1005,33.9,245,0.63,-0.05,,,,
11,4,15.3984,41.24419785,-7.114600658,-82.87,-571.18,-83.35,-570.26,153.3,25.44,23.2,1005,33.9,243,0.63,-0.05,,,,
11,4,15.7031,41.24419785,-7.114601612,-82.93,-571.18,-83.38,-570.22,153.3,25.44,23.2,1005,34,245,0.63,-0.05,,,,
11,4,16,41.24419785,-7.114603519,-83.05,-571.19,-83.39,-570.23,153.3,25.44,23.2,1005,34,251,0.66,0.05,,,,
11,4,16.2031,41.24419785,-7.114604473,-83.18,-571.2,0,0,153.3,26.02,23.2,1005,34,248,0.66,0.05,,,,
11,4,16.3984,41.24419785,-7.114605904,-83.24,-571.21,-83.54,-570.47,153.3,0,23.2,1005,34,248,0,0,,,,
11,4,16.7031,41.24419785,-7.114606857,-83.3,-571.21,-83.56,-570.44,153.3,0,23.2,1005,34,252,0.68,0,,,,
11,4,17,41.24419785,-7.114608765,-83.49,-571.23,-83.9,-570.36,153.3,25.33,23.2,1005,34,245,0.68,0.04,,,,
11,4,17.2969,41.24419785,-7.114610672,-83.61,-571.24,-84.03,-570.32,153.3,25.33,23.2,1005,34,246,0.68,0.04,,,,
11,4,17.5,41.24419785,-7.114611626,-83.73,-571.25,-84.1,-570.31,153.2,25.33,23.2,1005,34,249,0.67,-0.08,,,,
11,4,17.7969,41.24419785,-7.114613056,-83.86,-571.26,-84.22,-570.33,153.2,25.33,23.2,1005,34,249,0.67,-0.08,,,,
11,4,18,41.24419785,-7.11461401,-83.92,-571.26,-84.27,-570.33,153.2,24.55,23.2,1005,34,250,0.67,-0.08,,,,
11,4,18.2969,41.24419785,-7.114614964,-83.98,-571.27,-84.35,-570.32,153.2,24.55,23.2,1005,34,249,0.71,-0.01,,,,
11,4,18.6016,41.24419785,-7.114616871,-84.17,-571.28,-84.59,-570.32,153.2,24.55,23.2,1005,34,247,0.71,-1,,,,
11,4,18.7969,41.24419785,-7.114616871,-84.17,-571.28,-84.51,-570.41,153.2,25.54,23.2,1005,34.1,249,0.71,-1,,,,
