T5 - 10Sep_Morning930_GT,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI,Row,Space,Irrig,Scholand
10,27,46.2969,41.2442131,-7.114573956,-80.63,-569.01,-81.03,-567.99,153.9,24.08,22.2,1003.7,42.7,249,0.94,0.07,,,,
10,27,46.6016,41.24420547,-7.114575386,-80.69,-569.54,-81.07,-568.57,153.9,24.08,22.2,1003.7,42.7,249,0.94,0.07,,,,
10,27,46.8984,41.24420547,-7.114577293,-80.88,-569.55,-81.22,-568.57,153.9,24.08,22.2,1003.7,42.7,251,0.92,0.07,,,,
10,27,47.2031,41.24420547,-7.114578247,-80.94,-569.56,-81.32,-568.67,153.9,24.08,22.2,1003.7,42.7,247,0.92,0.04,,,,
10,27,47.5,41.24420547,-7.114580154,-81.13,-569.57,-81.43,-568.66,153.9,24.08,22.2,1003.7,42.7,252,0.92,0.04,,,,
10,27,47.7031,41.24420547,-7.114580154,-81.13,-569.57,-81.53,-568.65,153.9,26.18,22.2,1003.7,42.7,247,0.92,0.04,,,,
10,27,48,41.24420547,-7.114581108,-81.19,-569.58,-81.45,-568.68,153.9,26.18,22.2,1003.7,42.7,254,0.92,0.08,,,,
10,27,48.2969,41.24420547,-7.114583492,-81.38,-569.59,-81.74,-568.71,153.9,26.18,22.2,1003.7,42.6,248,0.92,0.08,,,,
10,27,48.6016,41.24420547,-7.1145854,-81.56,-569.61,-81.96,-568.6,153.9,26.18,22.2,1003.7,42.6,249,0.92,0.08,,,,
10,27,48.8984,41.24420547,-7.114587307,-81.69,-569.62,-82.11,-568.65,153.8,26.18,22.2,1003.7,42.6,247,0.92,0.08,,,,
